State,Year,Median age years,Percent Male,Percent White,Percent BA or higher,Percent unemployed,Per capita income dollars
AL,2000,36.0,47.9,71.65,20.0,6.4,40778.0
AK,2000,32.6,51.14,70.65,26.0,7.8,59060.0
AZ,2000,34.3,49.5,78.67,22.5,6.3,45840.0
AR,2000,36.3,48.51,80.05,16.7,6.4,39592.0
CA,2000,33.3,49.46,67.87,27.5,6.1,53096.0
CO,2000,34.6,49.84,85.46,32.9,4.1,55669.0
CT,2000,37.5,48.28,83.75,33.3,4.3,65348.0
DE,2000,36.5,48.46,76.18,25.3,4.3,55317.0
DC,2000,35.4,46.6,30.06,41.0,7.8,45887.0
FL,2000,38.8,48.42,79.07,23.2,5.2,45326.0
GA,2000,33.4,48.56,66.1,23.0,4.8,47020.0
HI,2000,36.6,49.73,24.57,27.5,6.1,59192.0
ID,2000,33.9,49.58,92.92,20.9,5.9,44022.0
IL,2000,34.7,48.79,75.07,26.9,5.6,55379.0
IN,2000,35.4,48.88,87.38,19.8,4.1,49130.0
IA,2000,36.7,49.25,94.03,22.1,4.1,47043.0
KS,2000,35.5,49.33,87.36,26.7,3.5,49308.0
KY,2000,36.0,48.67,90.53,17.1,5.8,40338.0
LA,2000,34.1,48.15,64.71,19.2,7.3,38491.0
ME,2000,39.2,48.82,97.27,22.9,4.2,45911.0
MD,2000,36.3,48.02,64.38,31.5,5.0,62513.0
MA,2000,36.8,48.22,85.92,35.0,3.4,61552.0
MI,2000,35.5,48.85,80.72,22.9,5.4,52794.0
MN,2000,35.4,49.61,89.38,27.7,3.6,57394.0
MS,2000,34.1,47.82,61.63,18.6,7.5,40167.0
MO,2000,36.1,48.41,85.4,22.9,4.9,45127.0
MT,2000,37.6,49.72,90.91,25.2,5.3,41184.0
NE,2000,35.5,49.13,90.69,24.8,3.3,46703.0
NV,2000,35.2,50.66,79.17,18.2,6.0,49324.0
NH,2000,37.5,49.22,96.14,30.3,3.3,60514.0
NJ,2000,36.9,48.49,74.81,31.0,5.2,65499.0
NM,2000,34.7,48.6,69.95,24.4,7.5,40016.0
NY,2000,36.0,47.9,69.71,28.1,5.6,52331.0
NC,2000,35.7,48.66,72.93,22.0,5.0,44597.0
ND,2000,36.4,49.69,92.25,22.9,4.4,42968.0
OH,2000,36.3,48.47,85.53,20.5,5.0,48943.0
OK,2000,35.6,48.68,75.69,20.2,5.9,40852.0
OR,2000,36.4,49.15,89.19,25.7,6.6,46347.0
PA,2000,38.1,48.23,86.19,22.7,5.3,48412.0
RI,2000,37.1,48.18,85.06,25.4,4.5,54103.0
SC,2000,35.8,48.25,67.74,23.2,5.2,43848.0
SD,2000,35.8,49.6,94.04,23.5,3.4,44673.0
TN,2000,35.9,48.59,80.68,20.8,5.8,44412.0
TX,2000,32.4,49.22,75.54,23.5,5.7,45591.0
UT,2000,27.3,49.83,91.02,26.6,6.1,51290.0
VT,2000,38.3,49.08,97.13,28.3,3.4,48073.0
VA,2000,36.0,48.43,73.44,30.1,4.2,55057.0
WA,2000,35.6,49.42,81.7,29.4,5.5,54637.0
WV,2000,39.2,48.59,95.33,14.3,6.5,35029.0
WI,2000,36.2,49.3,88.64,22.6,4.4,52195.0
WY,2000,36.6,50.14,92.41,24.2,4.7,46982.0
AL,2001,36.2,48.16,71.33,19.4,7.6,18368.0
AK,2001,32.6,51.19,69.37,25.8,6.9,24327.0
AZ,2001,33.7,49.3,76.19,23.3,6.8,20215.0
AR,2001,36.2,48.4,80.78,18.0,6.7,17190.0
CA,2001,33.0,49.44,66.28,28.2,6.9,23724.0
CO,2001,34.4,49.88,85.18,33.8,5.1,24637.0
CT,2001,38.4,48.49,83.17,32.8,5.2,30153.0
DE,2001,36.5,48.32,75.82,24.9,4.5,23776.0
DC,2001,35.5,46.98,29.29,42.3,7.8,30926.0
FL,2001,38.8,48.55,78.59,23.9,6.3,21515.0
GA,2001,33.3,48.82,66.18,24.7,5.8,21397.0
HI,2001,36.7,49.72,24.67,26.6,6.0,22432.0
ID,2001,33.6,49.51,92.11,22.4,6.7,17438.0
IL,2001,35.4,48.7,74.68,27.7,7.2,24277.0
IN,2001,36.3,48.98,87.86,20.3,5.9,21172.0
IA,2001,37.1,49.11,93.89,22.6,4.9,20236.0
KS,2001,36.4,49.19,86.49,27.1,4.5,21110.0
KY,2001,36.3,48.62,89.99,18.1,6.7,18109.0
LA,2001,34.1,48.08,63.98,19.3,8.1,17369.0
ME,2001,40.1,48.75,96.93,22.4,5.0,20563.0
MD,2001,36.2,48.13,63.55,32.8,5.3,27075.0
MA,2001,37.6,48.09,85.62,35.6,5.0,28842.0
MI,2001,36.3,48.8,80.49,23.2,6.8,22959.0
MN,2001,36.4,49.48,89.45,28.3,4.2,24717.0
MS,2001,34.1,47.93,61.4,18.9,8.6,16449.0
MO,2001,36.6,48.53,84.9,23.0,5.4,20663.0
MT,2001,38.4,49.83,90.34,25.1,5.7,17270.0
NE,2001,35.8,49.38,90.14,25.0,4.3,20703.0
NV,2001,34.9,50.43,79.18,18.7,5.8,22348.0
NH,2001,38.1,49.38,96.14,29.0,3.3,25632.0
NJ,2001,37.7,48.18,74.12,31.8,6.2,29191.0
NM,2001,35.2,49.04,66.49,23.7,7.2,17801.0
NY,2001,36.3,47.96,69.43,27.9,6.4,24845.0
NC,2001,35.5,48.67,72.48,22.8,6.6,20087.0
ND,2001,38.0,49.78,92.19,23.3,3.7,19649.0
OH,2001,37.1,48.46,85.36,21.7,5.9,21661.0
OK,2001,36.1,48.89,75.95,20.4,5.0,18304.0
OR,2001,36.4,49.38,87.86,25.4,7.5,21566.0
PA,2001,38.8,48.24,85.71,23.2,5.6,22048.0
RI,2001,37.5,48.1,85.67,27.4,5.9,23267.0
SC,2001,36.1,48.21,67.17,22.8,6.3,20529.0
SD,2001,37.0,49.38,93.08,23.7,3.7,19683.0
TN,2001,36.3,48.6,80.55,20.4,6.4,19837.0
TX,2001,32.3,49.16,71.96,24.2,6.0,20264.0
UT,2001,27.2,50.02,90.86,25.3,6.0,18620.0
VT,2001,39.4,49.02,96.95,29.9,4.1,22293.0
VA,2001,36.1,48.55,73.02,31.3,4.6,25432.0
WA,2001,35.7,49.61,81.35,29.5,6.9,23516.0
WV,2001,39.4,48.61,95.46,15.4,7.1,16797.0
WI,2001,36.8,49.37,89.04,23.2,5.7,22117.0
WY,2001,36.8,49.85,92.69,23.4,5.1,20423.0
AL,2002,36.4,48.22,71.04,20.6,7.7,18938.0
AK,2002,34.2,51.12,69.25,28.0,9.6,24830.0
AZ,2002,34.2,49.69,74.91,23.2,8.1,20663.0
AR,2002,36.7,48.47,80.05,19.7,7.3,18048.0
CA,2002,33.6,49.47,63.29,28.5,8.1,24026.0
CO,2002,34.7,49.99,82.9,33.5,7.0,24819.0
CT,2002,38.1,48.14,81.92,32.9,6.2,30187.0
DE,2002,36.9,48.4,75.2,25.1,6.2,24930.0
DC,2002,35.9,46.87,29.28,42.5,10.1,34212.0
FL,2002,39.3,48.52,77.56,24.1,7.1,22175.0
GA,2002,33.7,48.67,65.23,24.4,6.6,21964.0
HI,2002,37.4,49.55,24.5,27.9,6.2,22579.0
ID,2002,33.8,50.31,91.61,22.6,6.8,18388.0
IL,2002,35.1,48.89,74.7,28.1,8.8,24356.0
IN,2002,35.6,49.16,87.43,20.6,6.9,20758.0
IA,2002,37.9,49.13,93.38,22.2,5.5,20032.0
KS,2002,35.8,49.04,85.9,26.7,6.4,21045.0
KY,2002,37.2,48.64,89.94,18.8,7.3,19395.0
LA,2002,34.6,47.85,63.68,20.4,8.2,18114.0
ME,2002,40.0,48.49,96.87,24.0,6.8,21150.0
MD,2002,36.6,48.17,64.65,33.1,6.3,27863.0
MA,2002,37.5,48.15,84.42,35.5,6.9,28956.0
MI,2002,36.2,48.79,80.22,23.6,8.7,22228.0
MN,2002,36.2,49.62,88.56,29.8,5.8,24848.0
MS,2002,34.4,47.91,60.82,17.7,9.9,16398.0
MO,2002,36.8,48.29,84.79,23.9,6.0,21132.0
MT,2002,39.3,49.6,90.18,24.8,5.8,18932.0
NE,2002,35.8,49.22,89.68,24.8,4.9,20484.0
NV,2002,35.0,50.7,77.83,18.6,7.8,22419.0
NH,2002,38.2,49.33,95.83,30.2,5.0,27129.0
NJ,2002,37.6,48.45,72.28,31.6,7.4,29198.0
NM,2002,35.7,49.22,69.78,25.9,8.2,19230.0
NY,2002,36.5,48.05,68.56,29.3,7.8,25037.0
NC,2002,35.8,48.8,71.89,23.4,8.5,20626.0
ND,2002,37.4,49.58,91.88,23.8,4.4,19849.0
OH,2002,36.5,48.51,85.0,21.9,7.6,21658.0
OK,2002,36.1,48.58,76.54,20.7,6.5,18636.0
OR,2002,36.8,49.58,86.71,25.9,8.7,21412.0
PA,2002,38.9,48.23,85.33,23.6,7.0,22197.0
RI,2002,37.9,47.99,84.74,26.7,6.1,24484.0
SC,2002,36.5,48.16,67.09,22.7,7.9,20870.0
SD,2002,36.6,49.47,94.31,23.6,3.6,19454.0
TN,2002,36.8,48.49,80.05,21.0,6.6,20337.0
TX,2002,32.8,49.33,73.05,24.5,7.7,20808.0
UT,2002,28.1,49.98,90.19,27.3,6.6,18735.0
VT,2002,39.4,48.94,96.53,30.8,4.5,22371.0
VA,2002,36.5,48.58,72.68,31.7,5.6,25689.0
WA,2002,36.1,49.66,80.87,29.7,9.0,23830.0
WV,2002,40.0,48.25,95.17,16.1,7.1,17423.0
WI,2002,37.0,49.53,88.52,23.2,7.0,22061.0
WY,2002,37.8,50.26,92.16,23.4,5.8,22096.0
AL,2003,36.9,48.05,71.11,21.2,8.7,19003.0
AK,2003,33.2,51.09,69.55,26.6,10.8,24361.0
AZ,2003,33.9,49.65,76.78,24.3,7.8,20939.0
AR,2003,36.3,48.87,79.33,19.0,7.5,18556.0
CA,2003,34.1,49.56,66.22,29.1,8.5,24420.0
CO,2003,34.5,50.26,83.76,34.7,6.9,26175.0
CT,2003,38.5,48.5,81.48,34.6,7.0,31474.0
DE,2003,37.1,48.49,75.47,27.6,6.2,25553.0
DC,2003,35.7,46.88,30.49,44.2,11.2,32840.0
FL,2003,39.1,48.6,77.13,25.0,7.2,22532.0
GA,2003,33.8,49.02,66.15,25.7,7.4,22265.0
HI,2003,37.9,49.69,24.28,28.2,6.4,23106.0
ID,2003,34.0,49.71,92.35,24.0,6.9,18809.0
IL,2003,35.3,48.94,74.48,28.1,8.5,24694.0
IN,2003,35.7,48.85,87.18,21.0,7.8,21063.0
IA,2003,37.8,49.37,93.69,22.5,5.3,21129.0
KS,2003,35.6,49.34,86.47,28.7,6.3,22089.0
KY,2003,36.6,48.87,89.93,18.6,7.5,18587.0
LA,2003,34.7,48.15,64.02,21.3,8.5,18388.0
ME,2003,40.2,48.72,96.97,25.9,6.0,21543.0
MD,2003,36.9,48.0,64.21,34.5,6.4,28882.0
MA,2003,37.6,48.25,84.36,35.8,7.4,28509.0
MI,2003,36.6,48.73,80.28,24.3,9.0,23167.0
MN,2003,36.2,49.5,88.65,30.6,5.5,25579.0
MS,2003,34.6,48.05,60.99,18.7,9.5,17215.0
MO,2003,36.8,48.69,84.96,24.1,6.7,21473.0
MT,2003,39.0,49.57,90.05,25.8,5.9,18980.0
NE,2003,35.8,49.4,89.03,25.3,5.2,21285.0
NV,2003,35.1,50.44,77.2,19.5,7.6,22830.0
NH,2003,38.8,49.42,95.49,30.3,6.0,26467.0
NJ,2003,37.5,48.43,72.28,32.1,7.7,29094.0
NM,2003,35.6,48.9,70.19,23.7,7.8,18353.0
NY,2003,37.1,48.13,68.78,29.7,7.5,25854.0
NC,2003,35.8,48.67,71.9,24.3,8.5,20646.0
ND,2003,37.9,49.81,92.17,25.0,4.2,20320.0
OH,2003,37.2,48.56,84.92,23.0,7.9,21643.0
OK,2003,36.0,48.84,76.11,21.9,7.2,18726.0
OR,2003,36.8,49.32,87.78,26.4,8.7,21986.0
PA,2003,39.1,48.34,85.12,24.2,7.2,22427.0
RI,2003,38.1,48.15,85.16,29.1,6.7,24669.0
SC,2003,36.6,48.18,66.89,23.2,8.5,20734.0
SD,2003,36.4,49.37,94.54,23.1,4.5,19343.0
TN,2003,36.9,48.71,79.87,21.5,6.9,20792.0
TX,2003,32.7,49.38,73.01,24.5,7.9,20798.0
UT,2003,27.7,50.17,90.26,26.2,7.3,18905.0
VT,2003,40.1,49.19,96.53,32.0,5.3,22743.0
VA,2003,36.9,48.81,72.66,32.2,5.7,26362.0
WA,2003,36.2,49.56,81.26,30.2,9.5,24914.0
WV,2003,40.0,48.72,95.12,17.0,8.4,17325.0
WI,2003,37.1,49.3,88.27,23.8,6.9,22178.0
WY,2003,38.0,50.03,92.63,23.7,5.5,22045.0
AL,2004,37.0,48.07,71.07,21.9,7.1,20476.0
AK,2004,33.4,50.8,68.97,27.2,9.4,25466.0
AZ,2004,34.1,49.57,77.37,24.7,6.7,22105.0
AR,2004,36.6,48.95,79.38,18.1,7.8,18704.0
CA,2004,34.2,49.55,63.04,29.4,7.6,25411.0
CO,2004,34.5,50.19,83.48,33.7,7.1,25945.0
CT,2004,38.9,48.7,80.09,34.6,6.4,32884.0
DE,2004,37.5,48.7,74.51,28.1,7.0,26440.0
DC,2004,35.8,46.96,33.14,47.7,8.9,36893.0
FL,2004,39.3,48.59,77.5,25.4,7.1,23532.0
GA,2004,34.0,49.05,63.62,25.6,7.3,22791.0
HI,2004,38.0,49.45,25.22,29.1,5.3,24542.0
ID,2004,34.3,49.78,92.25,23.8,6.1,19269.0
IL,2004,35.4,48.93,74.84,29.1,8.1,25145.0
IN,2004,35.7,49.11,86.81,21.5,6.9,21696.0
IA,2004,38.0,49.21,93.84,23.9,5.8,21948.0
KS,2004,36.1,49.42,87.06,28.3,5.2,22594.0
KY,2004,37.3,48.69,90.26,19.0,7.3,19887.0
LA,2004,35.2,48.03,63.9,21.5,8.0,19643.0
ME,2004,40.7,48.68,96.32,26.1,5.1,22896.0
MD,2004,36.8,48.24,63.28,34.8,6.1,29636.0
MA,2004,38.1,48.36,84.04,37.4,6.1,30285.0
MI,2004,36.6,48.76,79.99,24.6,9.0,23594.0
MN,2004,36.6,49.61,88.09,29.7,5.8,26097.0
MS,2004,34.9,47.97,61.05,18.9,9.3,17922.0
MO,2004,37.3,48.54,84.83,24.3,6.1,22303.0
MT,2004,39.6,49.83,90.27,27.5,5.8,19565.0
NE,2004,36.0,49.65,88.78,26.6,5.1,21835.0
NV,2004,35.1,50.63,77.59,19.3,6.7,23938.0
NH,2004,39.2,49.55,95.69,32.1,4.5,27407.0
NJ,2004,37.8,48.33,70.6,33.3,7.2,30485.0
NM,2004,35.8,48.9,70.74,23.6,7.6,20234.0
NY,2004,37.3,48.08,67.82,30.5,7.3,26844.0
NC,2004,36.0,48.6,72.6,24.6,7.6,21626.0
ND,2004,38.8,49.67,91.71,24.0,4.5,21180.0
OH,2004,37.5,48.64,84.62,23.3,7.9,22632.0
OK,2004,36.5,49.3,75.33,22.2,7.1,19672.0
OR,2004,37.0,49.52,87.43,27.7,8.1,22230.0
PA,2004,39.3,48.24,84.8,24.7,6.8,23511.0
RI,2004,38.1,48.16,83.81,28.1,6.6,25087.0
SC,2004,36.9,48.45,67.96,24.6,7.5,21879.0
SD,2004,37.0,49.64,94.01,23.2,4.2,20765.0
TN,2004,37.0,48.58,80.02,22.2,7.1,21326.0
TX,2004,32.9,49.31,73.95,25.6,8.1,21691.0
UT,2004,28.0,50.08,90.83,28.0,6.7,19584.0
VT,2004,40.4,49.24,96.64,32.0,4.7,24697.0
VA,2004,36.9,48.82,72.65,32.7,5.5,27820.0
WA,2004,36.4,49.57,80.97,31.3,8.3,25212.0
WV,2004,40.3,48.79,95.03,16.3,6.8,18025.0
WI,2004,37.5,49.44,88.1,24.1,6.9,23350.0
WY,2004,38.4,50.1,92.5,24.8,4.8,24036.0
AL,2005,37.4,48.24,70.99,21.4,7.2,21168.0
AK,2005,33.9,50.75,69.17,27.3,8.6,26310.0
AZ,2005,34.5,49.79,76.17,25.6,6.3,23365.0
AR,2005,37.0,48.67,79.03,18.9,6.9,19325.0
CA,2005,34.4,49.6,60.92,29.5,7.2,26800.0
CO,2005,34.7,50.05,83.49,35.5,6.2,27081.0
CT,2005,39.3,48.48,81.19,34.9,6.3,33949.0
DE,2005,37.9,48.48,73.57,27.6,5.6,27650.0
DC,2005,35.9,47.09,32.38,45.3,9.1,37569.0
FL,2005,39.5,48.71,76.75,25.1,6.3,24611.0
GA,2005,34.3,49.0,62.54,27.1,7.4,23982.0
HI,2005,38.5,49.39,24.95,27.9,4.4,25326.0
ID,2005,34.6,49.81,91.81,23.3,5.8,20350.0
IL,2005,35.6,48.96,72.23,29.2,7.9,26307.0
IN,2005,36.1,49.1,86.12,21.3,6.9,22519.0
IA,2005,38.6,49.23,93.48,23.8,5.1,23340.0
KS,2005,36.1,49.42,85.24,28.2,5.5,23338.0
KY,2005,37.5,48.92,89.85,19.3,7.5,20551.0
LA,2005,35.4,48.24,63.68,20.6,9.0,20332.0
ME,2005,41.2,48.8,96.56,25.6,5.7,23606.0
MD,2005,37.1,48.16,61.46,34.5,5.7,31109.0
MA,2005,38.2,48.49,83.4,36.9,6.4,31007.0
MI,2005,36.9,48.9,79.98,24.7,8.9,24379.0
MN,2005,36.7,49.64,87.98,30.7,5.5,27248.0
MS,2005,35.5,48.09,60.78,18.7,9.3,17971.0
MO,2005,37.4,48.77,84.52,24.0,6.7,23026.0
MT,2005,40.2,49.68,90.56,26.5,5.3,21765.0
NE,2005,36.2,49.5,89.6,27.3,4.9,22885.0
NV,2005,35.2,50.56,76.07,20.6,5.8,25077.0
NH,2005,39.5,49.39,95.45,31.8,4.8,28201.0
NJ,2005,38.0,48.56,69.88,34.2,6.3,31471.0
NM,2005,36.2,48.82,69.51,25.1,7.3,20798.0
NY,2005,37.5,48.21,67.05,31.3,7.0,28158.0
NC,2005,36.2,48.89,71.4,25.1,7.1,22519.0
ND,2005,39.1,49.81,91.52,25.5,3.8,23129.0
OH,2005,37.6,48.62,84.33,23.3,7.4,23322.0
OK,2005,36.5,48.95,75.42,22.4,6.6,20709.0
OR,2005,37.0,49.45,86.79,27.7,7.5,23785.0
PA,2005,39.7,48.41,84.58,25.7,6.7,24591.0
RI,2005,38.4,48.21,82.92,29.3,6.1,27217.0
SC,2005,37.1,48.28,67.44,23.0,8.0,21536.0
SD,2005,37.0,49.44,87.95,24.7,4.9,21938.0
TN,2005,37.3,48.84,79.61,21.8,7.1,22090.0
TX,2005,33.2,49.38,71.94,25.1,7.6,22216.0
UT,2005,28.5,50.07,89.76,27.9,5.3,20814.0
VT,2005,40.7,49.13,96.61,32.5,5.3,25469.0
VA,2005,37.2,48.75,71.72,33.2,5.2,29148.0
WA,2005,36.7,49.67,81.15,30.1,7.2,26662.0
WV,2005,40.7,48.88,94.96,16.9,7.2,19214.0
WI,2005,37.9,49.37,88.07,25.0,6.2,24761.0
WY,2005,39.1,49.93,92.42,23.2,5.3,23936.0
PR,2005,34.4,47.74,76.4,,15.2,9693.0
AL,2006,37.2,48.5,70.41,21.1,6.9,21270.0
AK,2006,33.5,51.45,68.68,26.9,9.4,26919.0
AZ,2006,34.6,50.04,76.89,25.5,4.9,24110.0
AR,2006,37.1,49.01,78.56,18.2,7.0,19758.0
CA,2006,34.4,49.99,59.82,29.0,6.6,26974.0
CO,2006,35.4,50.35,82.78,34.3,5.5,27750.0
CT,2006,39.1,48.67,79.9,33.7,6.2,34048.0
DE,2006,37.5,48.46,72.13,27.0,5.9,26812.0
DC,2006,35.0,46.88,34.46,45.9,8.5,37043.0
FL,2006,39.8,49.08,76.1,25.3,5.5,25297.0
GA,2006,34.6,49.27,62.12,26.6,6.9,23716.0
HI,2006,37.2,50.03,26.25,29.7,4.4,27251.0
ID,2006,34.3,50.19,92.54,23.3,5.3,21000.0
IL,2006,35.7,49.21,70.72,28.9,7.2,26514.0
IN,2006,36.3,49.17,85.97,21.7,6.9,22781.0
IA,2006,37.8,49.31,92.97,24.0,4.9,23115.0
KS,2006,36.3,49.62,85.42,28.6,5.3,23818.0
KY,2006,37.3,48.95,89.46,20.0,6.9,21112.0
LA,2006,35.6,48.48,64.37,20.3,7.8,20367.0
ME,2006,41.0,48.82,95.76,25.8,5.3,23226.0
MD,2006,37.3,48.36,61.28,35.1,5.3,31888.0
MA,2006,38.3,48.41,82.79,37.0,5.8,30686.0
MI,2006,37.3,49.22,79.51,24.5,9.5,24097.0
MN,2006,36.8,49.7,87.84,30.4,5.2,27591.0
MS,2006,35.4,48.51,60.1,18.8,8.9,18165.0
MO,2006,37.2,48.81,83.96,24.3,6.3,22916.0
